NAME,GEO_ID,Mean Travel Time to Work
Montgomery County,0500000US47125,26.2
Rutherford County,0500000US47149,28.8
Sumner County,0500000US47165,29.5
Trousdale County,0500000US47169,41.0
Williamson County,0500000US47187,27.8
Wilson County,0500000US47189,30.4
Cheatham County,0500000US47021,33.7
"Macon County, Tennessee",0500000US47111,33.8
Robertson County,0500000US47147,31.7
Stewart County,0500000US47161,35.7
Davidson County,0500000US47037,25.3
Dickson County,0500000US47043,33.1
Houston County,0500000US47083,36.6
Humphreys County,0500000US47085,34.2
Maury County,0500000US47119,29.4
"Simpson County, KY",0500000US21213,20.4
"Allen County, KY",0500000US21003,25.9
Adams,1600000US4700200,32.4
Ashland City,1600000US4702180,31.4
Belle Meade,1600000US4704620,18.8
Berry Hill,1600000US4705140,17.6
Brentwood,1600000US4708280,25.8
Burns,1600000US4709880,30.1
Cedar Hill,1600000US4711980,32.0
Charlotte,1600000US4713080,33.3
Clarksville,1600000US4715160,25.3
Columbia,1600000US4716540,27.6
Coopertown,1600000US4716980,33.3
Cross Plains,1600000US4718420,36.4
Cumberland City,1600000US4718820,26.5
Dickson,1600000US4720620,26.4
Dover,1600000US4721400,24.6
Eagleville,1600000US4722360,33.5
Erin,1600000US4724320,25.7
Fairview,1600000US4725440,36.3
Forest Hills,1600000US4727020,20.0
Franklin,1600000US4727740,25.2
Gallatin,1600000US4728540,27.4
Goodlettsville,1600000US4729920,25.7
Greenbrier,1600000US4730960,32.5
Hendersonville,1600000US4733280,27.6
Kingston Springs,1600000US4739660,34.4
Lafayette,1600000US4740160,33.9
La Vergne,1600000US4741200,31.5
Lebanon,1600000US4741520,24.7
McEwen,1600000US4744840,37.0
Millersville,1600000US4748980,34.0
Mitchellville,1600000US4749460,34.6
Mount Juliet,1600000US4750780,31.1
Mount Pleasant,1600000US4751080,25.3
Murfreesboro,1600000US4751560,27.2
"Nashville-Davidson metropolitan government (balance), Tennessee",1600000US4752006,25.4
New Johnsonville,1600000US4752820,27.9
Nolensville,1600000US4753460,33.7
Oak Hill,1600000US4754780,19.7
Pegram,1600000US4757480,33.1
Pleasant View,1600000US4759560,34.3
Portland,1600000US4760280,27.9
Ridgetop,1600000US4763140,31.3
Slayden,1600000US4769080,36.0
Smyrna,1600000US4769420,29.2
Springfield,1600000US4770500,24.1
Spring Hill,1600000US4770580,30.3
Tennessee Ridge,1600000US4773460,33.1
Thompson's Station,1600000US4773900,30.5
Vanleer,1600000US4776860,37.3
Watertown,1600000US4778320,35.4
Waverly,1600000US4778560,29.6
Westmoreland,1600000US4779420,33.4
White Bluff,1600000US4779980,38.7
White House,1600000US4780200,38.1
"Scottsville, KY",1600000US2169114,19.5
"Fort Knox CDP, Kentucky",1600000US2128540,12.1
"Franklin, KY",1600000US2128918,17.5
Tennessee,0400000US47,25.4
US,0100000US,26.9
